DateTime,Energy_kWh,Minutes,Max_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,Year,Hour,DayType,Season
2006-12-16 17:00:00,2.5337,36,7.706,0.0,19.0,607.0,2006,17,Weekend,Winter
2006-12-16 18:00:00,3.6322,60,6.752,0.0,403.0,1012.0,2006,18,Weekend,Winter
2006-12-16 19:00:00,3.4002,60,4.07,0.0,86.0,1001.0,2006,19,Weekend,Winter
2006-12-16 20:00:00,3.2686,60,3.496,0.0,0.0,1007.0,2006,20,Weekend,Winter
2006-12-16 21:00:00,3.0565,60,3.502,0.0,25.0,1033.0,2006,21,Weekend,Winter
2006-12-16 22:00:00,2.2001,60,3.464,0.0,8.0,266.0,2006,22,Weekend,Winter
2006-12-16 23:00:00,2.0616,60,4.122,0.0,5.0,0.0,2006,23,Weekend,Winter
2006-12-17 00:00:00,1.8825,60,3.038,0.0,28.0,0.0,2006,0,Weekend,Winter
2006-12-17 01:00:00,3.3494,60,5.282,0.0,1514.0,0.0,2006,1,Weekend,Winter
2006-12-17 02:00:00,1.5873,60,2.52,0.0,34.0,0.0,2006,2,Weekend,Winter
2006-12-17 03:00:00,1.6622,60,2.734,0.0,46.0,0.0,2006,3,Weekend,Winter
2006-12-17 04:00:00,2.2158,60,3.522,0.0,34.0,533.0,2006,4,Weekend,Winter
2006-12-17 05:00:00,1.9967,60,3.486,0.0,10.0,279.0,2006,5,Weekend,Winter
2006-12-17 06:00:00,1.3033,60,3.328,0.0,43.0,0.0,2006,6,Weekend,Winter
2006-12-17 07:00:00,1.62,60,2.418,0.0,10.0,0.0,2006,7,Weekend,Winter
2006-12-17 08:00:00,1.8906,60,2.996,0.0,45.0,0.0,2006,8,Weekend,Winter
2006-12-17 09:00:00,2.5491,60,7.064,0.0,439.0,0.0,2006,9,Weekend,Winter
2006-12-17 10:00:00,3.6289,60,5.898,533.0,1341.0,969.0,2006,10,Weekend,Winter
2006-12-17 11:00:00,2.471,60,4.004,567.0,301.0,1031.0,2006,11,Weekend,Winter
2006-12-17 12:00:00,1.9159,60,3.518,0.0,32.0,1039.0,2006,12,Weekend,Winter
2006-12-17 13:00:00,1.6608,60,3.092,0.0,3.0,1057.0,2006,13,Weekend,Winter
2006-12-17 14:00:00,2.0926,60,2.68,0.0,20.0,1094.0,2006,14,Weekend,Winter
2006-12-17 15:00:00,2.9854,60,5.57,418.0,12.0,1062.0,2006,15,Weekend,Winter
